all_text,overall
moar spacepurchased this for my device it worked as advertised you can never have too much phone memory since i download a lot of stuff this was a no brainer for me,5.0
nothing to really sayit works as expected i should have sprung for the higher capacity i think its made a bit cheesier than the earlier versions the paint looks not as clean as before,4.0
great buy at this price updatethis think has worked out greathad a diff bran 64gb card and if went south after 3 monthsthis one has held up pretty well since i had my s3 now on my note3 update 32114ive had this for a few months and have had zero issues since it was transferred from my s3 to my note3 and into a note2 this card is reliable and solidcheers,5.0
best deal aroundbought it with retail packaging arrived legit in a orange envelope english version not asian like the picture shows arrived quickly bought a 32 and 16 both retail packaging for my htc one sv and lg optimus both cards in working order probably best price youll get for a nice sd card,5.0
not a lot to really be saidits mini storage it does not do anything else and it is not supposed to i purchased it to add additional storage to my microsoft surface pro tablet which only come in 64 and 128 gb it does what it is supposed to and sandisk has a long standing reputation that speaks for itself,5.0
works welli have it in my phone and it never skips a beat file transfers are speedy and have not had any corruption issues or memory fade issues as i would expect from the sandisk brand great card to own why entrust your precious files to a slightly cheaper piece of crap if you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good qa,5.0
32 gb for less than two sawbuckswhats not to likeit is hard to believe how affordable digital has become 32 gb in a device one quarter the sie of postage stamp would have been science fiction less than a generation agoi picked this up for portable music when i did not want to schlep or risk a phone or ipod works great with all sd card readersselect with confidence,5.0
loads of roomworks in a htc rezound was running short of space on a 64gb sandisk so i ordered this when it came out fast and no issues,5.0
works greatin my galaxy s4 super fast card and am totally happy not happy having to still type to fill the required words though,5.0
32gb microsd cardi like this sd card because it can take music video downloads personal videos filesdocs and multimedia images with a fast transfer rate of class 10 speed it can take games with large files very easily and still have enough space for applications its great for video cameras and camcorders with the supplied adapter fits very easily into smartphones and tablets sd card slots i recommend this 32gb sd card to everyone,5.0
it works but not as fast as expectedit works but file writes are a bit slower than expected on a usb3 readeralso both reads and writes are faster with the card inside the standardsize sd adapter 15 mbs vs 10 write 45 mbs vs 22 mbs read on the same card reader cannot figure why,3.0
a renound name brandthe name of itself speaks out go sandisk go,5.0
great sdhc cardsolid sdhc card that is fast at reading and writing fast for recording video and pics has great capacity and is reasonably priced i have had no issues with itoverall highly recommend,5.0
use it for my gopro hero 3 blackheard that the cards write speed is insufficient however i have used it extensively and have not had a single problem with it,5.0
awesome price great brand namei bought this to use with my go pro hero 3 black edition it requires a class 10 microsdxc card so far i have had no issues with it fast readwrite came with adapter small packaging but that is all it needed comes with a nice hard plastic case to keep both dry and together if needed,5.0
great price fastgot this because i had a 2 gb one that filled up i kept getting the insufficient disk space on my phone my kids take my phone and do selfies mostly my daughter i had to get a bigger card the 2gb one was a carry over from an old phoneneedless to say this was sweet plenty of space and i dont have to delete pictures anymore well for now at leastmy daughter loves selfies,5.0
get fast load timesclass 10 speed rating for seamless full hd videothe sandisk ultra uhsi card features a class 10 and uhs speed class 1 u1 rating the highest video performance available for recording uninterrupted full hd videoflawless application performancethis card can retrieve stored data almost instantly thanks to its up to 30mbs read capability and fast bus interface the sandisk ultra microsdhc and microsdxc uhsi cards offer faster application loading and smoother more fluid application performancestorage capacities up to 64gbthis card has plenty of room to accommodate full hd videos mp3s applications and other memoryintensive mobile files available in sizes up to 64gb it can store all the applications music and video you wantandroid application for easy file managementthe included sandisk memory zone application lets you easily view access and backup all of your digital files from your phones memory additional memory card and cloud service all in one convenient place using the application you can easily move files from your card to a number of cloud storage servicesdurable designsandisk ultra uhsi memory cards can capture memories from 13 to 185 degrees fahrenheit with a shockproof waterproof and xrayproof design your mobile device may not survive but your sandisk memory card will,5.0
very good little micro sd cardthe read and write speeds are better than the samsung sd card that i had previously i would not hesitate to buy another one of these great micro sd cards from sandisk i also own their clip plus mp3 player and it works very well i think i am becoming a fan of the sandisk products,5.0
worksthis works with the nl1520 no video stuttering like with the 64gb blah blah blah blah to fill in the rest,5.0
worksworks as expected high transfer speed nice to have extra microsd adapters lying around since i always seem to misplace them mainly bought it to use in my nikon dslr since i can put the card directly into my cm modded nook hd tablet in the field and view my images on a larger screen,5.0
good with galaxy s3works great in a samsung galaxy s3 formatted straight away full size there i cannot really tell the speed difference between this one and a slower card it replaced i guess the io in the phone cannot take advantage,5.0
never disappointssandisk never disappoints as always sandisk products are worth every penny nice product and quality and works great i recommend this product to everyone,5.0
greatgood price works flawless in my samsung s4 normal sandisk quality that is why i go with this brand and only this brand,5.0
perfectsan disk is hard to beat you will pay more for the brand but you get a quality product would purchase again,5.0
it does the jobinstalled in my blackberry q10 sqn1001 and formatted works just fine plenty of storage space for pictures and videos of my son at the park,5.0
64 gbi just received my card it is the class 10 64gb with the correct serialsdsdqua064ga11a i received it in an unopened sandisk packaging i am going to use it on my htc rezound i hope it works from what i have read it will work after reformatting the disk i will update this review if i have any issues using it if not my rating will remain unchanged,5.0
perfect and fast in my s2stuck it in my s2 formatted in settings works great already filled with music pics and videos get this card format it right and youll have no problems if your phone would not do it right should have got a samsung haha,5.0
great producti purchased two of these one for my samsung tablet and one for my samsung galaxy note great hardware that is truly speedy responsive and meets my needs,5.0
worksas advertised specs match as long as the device you as using it in can handle it that is usb 30 not some crapple bs it delivers the advertised speed ps the speed is read not write but you knew that right,5.0
great productthis item is great i cannot believe how small it is imagine 64gb this size back in the 70s when they had whole buildings full of computers that could not pack this much space great item,5.0
